#{"t_start": 1720222829.1774597, "env_id": "None"}
r,l,t
1009433.930974,1580,11636.348387
1961517.685334,1580,11658.277044
1889569.172896,1580,11680.512161
1607469.707498,1580,11701.92534
1421387.445579,1580,11724.085693
2866411.231669,1580,11745.66978
1004233.725203,1580,11766.65556
987855.040581,1580,11789.309201
3016582.63925,1580,11810.401843
1302068.620102,1580,11830.852034
1001392.529348,1580,11853.806043
1348437.795729,1580,11874.716097
2154198.595119,1580,11895.539761
1199131.786796,1580,11918.757355
1216144.933762,1580,11939.720165
1786555.400213,1580,11965.598801
4575072.775093,1580,11988.590695
2250464.122365,1580,12009.384113
4464656.012381,1580,12030.931687
1096099.274972,1580,12052.800102
4394096.780403,1580,12073.051312
2049532.223064,1580,12096.287995
4370390.38867,1580,12117.66484
1025630.748947,1580,12138.417666
4345248.514592,1580,12160.328723
4575072.775093,1580,12182.056033
1202933.728113,1580,12203.434683
1006217.204564,1580,12225.981402
3107576.809377,1580,12247.273383
1554293.380637,1580,12267.451505
668898.365707,1580,12289.784389
1118682.421968,1580,12311.061441
2328611.340515,1580,12332.549477
2017562.190619,1580,12355.901929
1455254.404193,1580,12377.7415
1331837.644084,1580,12398.233157
2668495.280422,1580,12420.305753
1715494.904859,1580,12441.365262
4565145.744607,1580,12461.93229
1809577.939282,1580,12484.518122
1853586.442474,1580,12505.428391
509524.960538,1580,12526.653496
1285214.798088,1580,12549.535075
718942.897741,1580,12570.367716
891240.371104,1580,12590.951513
731680.092152,1580,12612.549873
1890425.125106,1580,12633.115466
636116.121969,1580,12654.861464
886091.346774,1580,12677.336443
606605.047674,1580,12698.157004
669129.013608,1580,12719.426489
893136.942937,1580,12740.833585
488821.377429,1580,12761.231297
628770.012812,1580,12783.103409
633272.44461,1580,12804.834834
682900.840411,1580,12826.108568
592290.922405,1580,12848.66448
514703.663893,1580,12870.333705
720177.437752,1580,12890.734714
576445.980304,1580,12913.069247
663609.992772,1580,12935.488189
524602.274796,1580,12955.861755
1047889.024888,1580,12977.759685
892333.040854,1580,12999.192976
1076138.438903,1580,13019.482188
1454126.250775,1580,13042.983793
1239529.928326,1580,13064.273046
970451.756616,1580,13084.867544
528844.911852,1580,13106.729029
908510.966369,1580,13128.840415
837848.749925,1580,13148.981288
868309.154452,1580,13171.626436
616370.786469,1580,13192.591402
1430516.823025,1580,13213.078274
1163080.108238,1580,13237.990617
849938.733641,1580,13259.761254
1403572.168199,1580,13279.933967
553460.423568,1580,13302.832772
992449.045378,1580,13326.465893
574519.712559,1580,13347.38683
548428.740839,1580,13370.074776
893765.646452,1580,13390.541701
1154350.49554,1580,13412.235333
713266.961596,1580,13434.029625
914261.127385,1580,13455.638942
1721506.196187,1580,13478.178789
1071332.446025,1580,13499.664686
705126.36994,1580,13520.278831
643497.676837,1580,13542.843778
663452.596644,1580,13564.624285
752682.593055,1580,13584.762047
1865665.531614,1580,13606.755869
668688.650673,1580,13628.245936
1083063.812055,1580,13648.651251
2102087.943345,1580,13670.369187
670165.105821,1580,13692.056114
678487.72086,1580,13712.307519
1262512.229621,1580,13735.623554
1014006.587621,1580,13756.512098
535256.128341,1580,13777.925621
509600.046746,1580,13800.318385
539811.767637,1580,13821.456379
394873.912768,1580,13841.605417
